Company Name, Telephone, Fax, Email
ALISTER ENGINEERING & HARDWARE SUPPLIERS, 07-354 3599, 07-354 8898, alister_119@hotmail.com
ALL STATE OXYGEN & HARDWARE SDN BHD, 07-237 1900 |  237 1902, 07-236 3741, allstate02@yahoo.com
ASSIA METAL & MACHINERY SDN BHD, 07-355 9991 |  355 9992, 07-355 9993, enquiry@assiametal.com
ASSIA METAL SDN BHD, 07-556 1888, 07-557 8900, assiametal@gmail.com
ANFRED HARDWARE SDN BHD, 013-740 2222 |  012-779 9446, 07-509 7922, anfredhardware@gmail.com/ x.zhi@hotmail.com
AKODA RESOURCES SDN BHD, 06-954 4896, 06-950 1236, alexfung9696@gmail.com
BAHAN-BAHAN PEMBINAAN MERSING SDN BHD, 07-799 1462, 07-799 2305, bahan.mersing@gmail.com
BAN HUP HENG HARDWARE SDN BHD, 06-952 1287, 06-953 3805, bhhhardware@hotmail.com
BEE HONG HARDWARE TRADING CO., 81100 | , 07-3544191, beehong261@gmail.com
BRC MESH ENTERPRISE SDN BHD, 07-3544190, 06-975 1159 |  06-975 6555, brcmesh@yahoo.com
BP HOSENG HARDWARE SDN BHD, 06-975 4115, 07-415 3275, bphoseng@hotmail.com
BONAKA HARDWARE TRADING, 07-415 6924, 07-359 5753, bonakahardware@gmail.com
BRC HARDWARE SDN BHD, 07-359 5752, 07-223 6515, brctrdg@hotmail.com
CAHAYA INDUSTRIAL SUPPLY SDN BHD, 07-222 6781, 07-352 1557, pinky_0817@hotmail.com
CASWILL MARKETING, 07-352 2557, 07-361 0580, lys3800@hotmail.com
C.H. HWA HONG MACHINERY SDN BHD, 07-361 0580, 07-237 1540, iphang345@gmail.com
CHEW SEW VOON & SONS SDN BHD, 07-237 3522, 07-387 6102, shktkg@yahoo.com
CHEY WEE HARDWARE & BUILDING MATERIALS, 07-387 6102, 07-355 9082, cheyweehardware@yahoo.com.my
CHIS (M) SDN BHD, 07-353 6224, 07-333 3520, edwintee@streamyx.com
CHOON SENG MASAI HARDWARE SDN BHD, 07-333 1131, 07-251 1863, choonsengmasai@gmail.com
CHUAN HENG HARDWARE PAINTS & BUILDING MATERIAL, 07-252 2863, 07-354 4861 |  07-354 9736, admin@chuanhenghardware.com
CHUAN HUAT BUILDING MATERIALS SDN BHD, 07-355 2898, 07-883 1375, looling8888@gmail.com
C.I.A. MACHINERY SDN BHD, 07-883 5325, 07-236 5559, cia.machinery@yahoo.com
CIEN LONG MATERIAL SUPPLIES SDN BHD, 07-236 5549, 07-387 5478 |  07-387 5479, clmpsb@streamyx.com |  sale@cienlongringring.com
CHOP CHOON SEN, 07-387 5480, 07-599 1116, cts8my@hotmail.com
¸£ÐË, 07-5980479, 07-693 1224, cmpi.enquiry@gmail.com
CHOP HOCK HENG, 07-688 2212, 07-695 1686, choonsengmasai@gmail.com
CHOP JOO HUAT, 07-696 0235, 07-826 3236, champtechenterprise@gmail.com
CHOP THIAN SENG SDN BHD, 07-826 3580, 07-354 8149  |  07-353 5090 |  07-351 8378, sales@deltechengrg.com
CM PAINTS SDN BHD, 07-354 8140, 07-251 1863, dneworks@streamyx.com
CHOON SENG MASAI HARDWARE SDN BHD, 07-252 2863, 07-358 2020, dhe_sb@hotmail.com
CHAMPTECH ENTERPRISE SDN BHD, 07-355 8118, 07-355 9119, dysonentjb@gmail.com
DELTECH ENGINEERING SDN BHD, 07-354 1533 |  07-351 5237, 07-354 5337 |  07-354 5029, delon@robinson.com.my
81100 JOHOR BAHRU, 07-333 3398 |  07-332 1398, 07-331 4143, emas1370@hotmail.com
D & E WORKS SDN BHD, 07-332 2403 |  07-332 3602, 07-333 8633 |  07-331 0984, esmjb@streamyx.com
D.H.E. SDN BHD, 07-355 9635, 07-358 5979, sales@extromach.com
DYSON ENTERPRISE SDN BHD, 07-772 3193 |  07-771 8137, 07-772 5854, peter@excelmetal.com.my |  rene@mikas.com.sg
DELON MARKETING SDN BHD, 07-512 2230 |  07-512 2231, 07-512 6233, etstradinge@yahoo.com.my
EMAS HARDWARE & MACHINERY SDN BHD, 07-352 9455£¬07-351 9466, 07-352 0982, mail@foklienhardware.com
ESM MACHINERY (JB) SDN BHD, 07-599 9988, 07-598 8111, fthardware@gmail.com
